rank,item_id,group,name,unit,price,source,source_detail,date,why
1,canola_oil_946ml,cooking_oil,Canola oil,946ml,,,,,"Seasoning, oil or garlic on most dishes; no real price in 'cooking_oil', so every card using it says Sample prices"
2,salt_1kg,salt,Table salt,1kg,,,,,"Seasoning, oil or garlic on most dishes; no real price in 'salt', so every card using it says Sample prices"
3,black_pepper_ground_100g,black_pepper,"Black pepper, ground",100g,,,,,"Seasoning, oil or garlic on most dishes; no real price in 'black_pepper', so every card using it says Sample prices"
4,garlic_bulb_each,garlic,Garlic,1 bulb,,,,,"Seasoning, oil or garlic on most dishes; no real price in 'garlic', so every card using it says Sample prices"
5,seasoning_all_purpose_250g,seasoning,"Seasoning blend, all-purpose",250g,,,,,"Seasoning, oil or garlic on most dishes; no real price in 'seasoning', so every card using it says Sample prices"
6,garlic_powder_100g,garlic_powder,Garlic powder,100g,,,,,"Seasoning, oil or garlic on most dishes; no real price in 'garlic_powder', so every card using it says Sample prices"
7,chili_powder_100g,chili_powder,Chili powder,100g,,,,,"Seasoning, oil or garlic on most dishes; no real price in 'chili_powder', so every card using it says Sample prices"
8,cumin_ground_60g,cumin,"Cumin, ground",60g,,,,,"Seasoning, oil or garlic on most dishes; no real price in 'cumin', so every card using it says Sample prices"
9,paprika_75g,paprika,Paprika,75g,,,,,"Seasoning, oil or garlic on most dishes; no real price in 'paprika', so every card using it says Sample prices"
10,italian_seasoning_30g,italian_seasoning,Italian seasoning,30g,,,,,"Seasoning, oil or garlic on most dishes; no real price in 'italian_seasoning', so every card using it says Sample prices"
11,curry_powder_80g,curry_powder,Curry powder,80g,,,,,"Seasoning, oil or garlic on most dishes; no real price in 'curry_powder', so every card using it says Sample prices"
12,soy_sauce_410ml,soy_sauce,Soy sauce,410ml,,,,,"Seasoning, oil or garlic on most dishes; no real price in 'soy_sauce', so every card using it says Sample prices"
13,chili_flakes_50g,chili_flakes,Crushed chili flakes,50g,,,,,"Seasoning, oil or garlic on most dishes; no real price in 'chili_flakes', so every card using it says Sample prices"
14,olive_oil_500ml,olive_oil,Olive oil,500ml,,,,,"Seasoning, oil or garlic on most dishes; no real price in 'olive_oil', so every card using it says Sample prices"
15,tomato_paste_156ml,tomato_paste,Tomato paste,156ml,,,,,"Seasoning, oil or garlic on most dishes; no real price in 'tomato_paste', so every card using it says Sample prices"
16,vegetable_bouillon_cubes_12,vegetable_broth,Vegetable bouillon cubes,12 cubes,,,,,"Seasoning, oil or garlic on most dishes; no real price in 'vegetable_broth', so every card using it says Sample prices"
17,chicken_bouillon_cubes_12,chicken_broth,Chicken bouillon cubes,12 cubes,,,,,"Seasoning, oil or garlic on most dishes; no real price in 'chicken_broth', so every card using it says Sample prices"
18,green_onion_bunch,green_onion,Green onions,bunch,,,,,"Seasoning, oil or garlic on most dishes; no real price in 'green_onion', so every card using it says Sample prices"
19,cinnamon_ground_75g,cinnamon,"Cinnamon, ground",75g,,,,,"Seasoning, oil or garlic on most dishes; no real price in 'cinnamon', so every card using it says Sample prices"
20,vinegar_white_1l,vinegar,White vinegar,1L,,,,,"Seasoning, oil or garlic on most dishes; no real price in 'vinegar', so every card using it says Sample prices"
21,hot_sauce_148ml,hot_sauce,Hot sauce,148ml,,,,,"Seasoning, oil or garlic on most dishes; no real price in 'hot_sauce', so every card using it says Sample prices"
22,mustard_yellow_400ml,mustard,Yellow mustard,400ml,,,,,"Seasoning, oil or garlic on most dishes; no real price in 'mustard', so every card using it says Sample prices"
23,beef_bouillon_cubes_12,beef_broth,Beef bouillon cubes,12 cubes,,,,,"Seasoning, oil or garlic on most dishes; no real price in 'beef_broth', so every card using it says Sample prices"
24,bbq_sauce_425ml,bbq_sauce,BBQ sauce,425ml,,,,,"Seasoning, oil or garlic on most dishes; no real price in 'bbq_sauce', so every card using it says Sample prices"
25,salsa_medium_650ml,salsa,"Salsa, medium",650ml,,,,,"Seasoning, oil or garlic on most dishes; no real price in 'salsa', so every card using it says Sample prices"
26,brown_sugar_1kg,brown_sugar,Brown sugar,1kg,,,,,"Seasoning, oil or garlic on most dishes; no real price in 'brown_sugar', so every card using it says Sample prices"
27,honey_500g,honey,Liquid honey,500g,,,,,"Seasoning, oil or garlic on most dishes; no real price in 'honey', so every card using it says Sample prices"
28,baking_powder_225g,baking_powder,Baking powder,225g,,,,,"Seasoning, oil or garlic on most dishes; no real price in 'baking_powder', so every card using it says Sample prices"
29,basa_frozen,white_fish,"Basa fillets, frozen",400g,,,,,Main protein with no real price in 'white_fish'
30,ground_chicken_450g,ground_chicken,"Ground chicken, lean",450g,,,,,Main protein with no real price in 'ground_chicken'
31,ground_turkey_450g,ground_turkey,"Ground turkey, lean",450g,,,,,Main protein with no real price in 'ground_turkey'
32,tofu_extra_firm_454g,tofu,"Tofu, extra firm",454g,,,,,Main protein with no real price in 'tofu'
33,cheddar_400g,cheese,"Cheddar, mild, block",400g,,,,,Main protein with no real price in 'cheese'
34,chicken_breast_3pk,chicken_breast,"Chicken breasts, boneless skinless",3 pack,,,,,Main protein with no real price in 'chicken_breast'
35,shrimp_cooked_frozen_340g,shrimp,"Cooked shrimp, frozen",340g,,,,,Main protein with no real price in 'shrimp'
36,sardines_106g,sardines,"Sardines in oil, canned",106g,,,,,Main protein with no real price in 'sardines'
37,ground_pork_454g,ground_pork,"Ground pork, lean",454g,,,,,Main protein with no real price in 'ground_pork'
38,bacon_375g,bacon,"Bacon, sliced",375g,,,,,Main protein with no real price in 'bacon'
39,pork_sausage_500g,pork_sausage,"Pork sausages, mild",500g,,,,,Main protein with no real price in 'pork_sausage'
40,ground_lamb_454g,ground_lamb,Ground lamb,454g,,,,,Main protein with no real price in 'ground_lamb'
41,deli_turkey_175g,deli_turkey,"Turkey breast, sliced",175g,,,,,Main protein with no real price in 'deli_turkey'
42,ham_deli_175g,ham,"Ham, sliced",175g,,,,,Main protein with no real price in 'ham'
43,fish_sticks_700g,fish_sticks,"Fish sticks, frozen",700g,,,,,Main protein with no real price in 'fish_sticks'
44,beef_fast_fry_500g,beef_steak,Inside round fast-fry steak,about 500g,,,,,Main protein with no real price in 'beef_steak'
45,peanuts_roasted_600g,peanuts,"Peanuts, dry roasted",600g,,,,,Main protein with no real price in 'peanuts'
46,almonds_whole_400g,almonds,"Almonds, whole",400g,,,,,Main protein with no real price in 'almonds'
47,mixed_nuts_unsalted_400g,mixed_nuts,"Mixed nuts, unsalted",400g,,,,,Main protein with no real price in 'mixed_nuts'
48,almond_butter_365g,almond_butter,Almond butter,365g,,,,,Main protein with no real price in 'almond_butter'
49,sunflower_seeds_shelled_200g,sunflower_seeds,"Sunflower seeds, shelled",200g,,,,,Main protein with no real price in 'sunflower_seeds'
50,sour_cream_500ml,sour_cream,Sour cream,500ml,,,,,Main protein with no real price in 'sour_cream'
51,parmesan_grated_250g,parmesan,"Parmesan, grated",250g,,,,,Main protein with no real price in 'parmesan'
52,chicken_breast_halal_3pk,chicken_breast,"Chicken breasts, boneless skinless, halal",3 pack,,,,,"Halal: StatCan has only the regular product, so halal users see Sample prices for 'chicken_breast'"
53,chicken_bouillon_halal_200g,chicken_broth,"Chicken bouillon powder, halal",200g,,,,,"Halal: StatCan has only the regular product, so halal users see Sample prices for 'chicken_broth'"
54,chicken_drumsticks_halal_1kg,chicken_drumsticks,"Chicken drumsticks, halal",about 1 kg,,,,,"Halal: StatCan has only the regular product, so halal users see Sample prices for 'chicken_drumsticks'"
55,chicken_thighs_halal_1kg,chicken_thighs,"Chicken thighs, bone-in, halal",about 1 kg,,,,,"Halal: StatCan has only the regular product, so halal users see Sample prices for 'chicken_thighs'"
